Suburb,avg_price,median_price,avg_building_area,total_revenue,transaction_count,avg_price_per_room,avg_landsize,price_to_area_ratio,revenue_pct,cumulative_revenue_pct,pareto_80
Ferntree Gully,834340.3636363636,783050.0,167.0,18355488.0,22,270644.1813636364,774.7272727272727,4996.05,0.127,92.939,False
Burwood East,1087031.25,1016000.0,147.23425625,17392500.0,16,329814.583125,519.9375,7383.0,0.12,93.059,False
Blackburn North,1204500.0,1225000.0,189.53571428571428,16863000.0,14,328303.5721428571,623.2857142857143,6355.0,0.116,93.175,False
Gowanbrae,691395.8333333334,690000.0,163.20833333333334,16593500.0,24,199223.95833333334,487.0,4236.28,0.114,93.289,False
Williamstown North,871657.8947368421,862000.0,135.75526315789475,16561500.0,19,297614.0347368421,396.6842105263158,6420.8,0.114,93.403,False
Clayton,1266269.2307692308,1115000.0,149.65384615384616,16461500.0,13,378525.64,606.0769230769231,8461.32,0.114,93.517,False
Frankston South,1005000.0,885000.0,171.625,16080000.0,16,301927.08375,1321.25,5855.79,0.111,93.628,False
Taylors Lakes,729409.0909090909,710000.0,183.4090909090909,16047000.0,22,203196.96954545454,650.3181818181819,3976.95,0.111,93.739,False
South Kingsville,729284.0909090909,802500.0,121.04545454545455,16044250.0,22,263229.1663636364,351.72727272727275,6024.88,0.111,93.85,False
Black Rock,1335791.6666666667,1147500.0,145.29166666666666,16029500.0,12,405729.1666666667,460.4166666666667,9193.86,0.111,93.961,False
Vermont South,1228692.3076923077,1250000.0,202.5,15973000.0,13,296269.23076923075,759.0,6067.62,0.11,94.071,False
Donvale,1212423.076923077,920000.0,174.6153846153846,15761500.0,13,333611.1715384616,821.9230769230769,6943.39,0.109,94.18,False
Montmorency,901358.8235294118,900000.0,145.44117647058823,15323100.0,17,285894.1182352941,657.3529411764706,6197.41,0.106,94.286,False
Frankston,638354.1666666666,637000.0,140.8975,15320500.0,24,199157.98625,624.375,4530.63,0.106,94.392,False
Vermont,1084000.0,1076250.0,170.07142857142858,15176000.0,14,286517.2614285714,568.9285714285714,6373.79,0.105,94.497,False
Heathmont,946781.25,916000.0,156.5625,15148500.0,16,275241.145,569.0625,6047.31,0.104,94.601,False
St Albans,603524.0,610000.0,128.68,15088100.0,25,212572.9996,565.12,4690.12,0.104,94.705,False
Keilor Park,672090.9090909091,695000.0,143.70454545454547,14786000.0,22,210873.10636363635,487.1363636363636,4676.89,0.102,94.807,False
Broadmeadows,610543.4782608695,575500.0,119.87869565217392,14042500.0,23,230072.4630434783,600.6086956521739,5093.01,0.097,94.904,False
South Morang,640809.5238095238,612000.0,187.88095238095238,13457000.0,21,176225.39714285714,482.04761904761904,3410.72,0.093,94.997,False
Glen Huntly,778735.2941176471,636500.0,98.41176470588235,13238500.0,17,345985.29411764705,341.05882352941177,7913.03,0.091,95.088,False
Jacana,529040.0,551000.0,114.4492,13226000.0,25,181540.0,604.76,4622.49,0.091,95.179,False
Bellfield,822531.25,804000.0,119.530625,13160500.0,16,295239.583125,610.9375,6881.34,0.091,95.27,False
Gladstone Park,653975.0,656500.0,156.0,13079500.0,20,193135.0,530.45,4192.15,0.09,95.36,False
Blackburn South,1079916.6666666667,1190500.0,127.5,12959000.0,12,353673.61000000004,803.5833333333334,8469.93,0.089,95.449,False
Oakleigh East,1174545.4545454546,1150000.0,149.27272727272728,12920000.0,11,371636.3645454545,588.6363636363636,7868.45,0.089,95.538,False
Greenvale,751000.0,770000.0,216.4829411764706,12767000.0,17,191311.27470588236,722.1176470588235,3469.1,0.088,95.626,False
McKinnon,1500000.0,1452500.0,158.75,12000000.0,8,458906.25,461.25,9448.82,0.083,95.709,False
Boronia,856392.8571428572,777500.0,155.60714285714286,11989500.0,14,233065.4757142857,943.2857142857143,5503.56,0.083,95.792,False
Hillside,663102.7777777778,648000.0,183.25,11935850.0,18,174609.95388888888,684.2222222222222,3618.57,0.082,95.874,False
Wantirna,993166.6666666666,975500.0,169.0,11918000.0,12,291763.88916666666,741.25,5876.73,0.082,95.956,False
Eltham North,910809.0,900000.0,195.53846153846155,11840517.0,13,234904.28153846154,928.6923076923077,4657.95,0.082,96.038,False
Kealba,583263.1578947369,570000.0,175.57894736842104,11082000.0,19,163052.63263157895,560.9473684210526,3321.94,0.076,96.114,False
Ringwood East,909500.0,855000.0,117.0,10914000.0,12,296479.1675,599.0,7773.5,0.075,96.189,False
Bayswater,759642.8571428572,737500.0,139.64285714285714,10635000.0,14,227214.2857142857,610.5714285714286,5439.9,0.073,96.262,False
Dandenong North,648593.75,622750.0,143.09375,10377500.0,16,191755.208125,589.1875,4532.65,0.072,96.334,False
Seaford,729535.7142857143,769000.0,162.55357142857142,10213500.0,14,206250.00071428574,607.4285714285714,4487.97,0.07,96.404,False
Travancore,1010450.0,978000.0,121.95,10104500.0,10,349975.0,552.4,8285.77,0.07,96.474,False
Keilor Downs,672200.0,680000.0,156.53133333333332,10083000.0,15,200872.22266666667,702.6666666666666,4294.35,0.07,96.544,False
Berwick,757384.6153846154,740000.0,205.69307692307694,9846000.0,13,207935.89769230768,710.4615384615385,3682.11,0.068,96.612,False
Caulfield East,1088222.2222222222,1335000.0,128.55555555555554,9794000.0,9,355750.0,643.6666666666666,8465.0,0.068,96.68,False
Caulfield,809458.3333333334,644000.0,114.375,9713500.0,12,321840.2775,388.9166666666667,7077.23,0.067,96.747,False
Clayton South,861136.3636363636,850000.0,127.13636363636364,9472500.0,11,288469.69545454544,632.8181818181819,6773.33,0.065,96.812,False
Kingsbury,727846.2307692308,705500.0,126.61538461538461,9462001.0,13,233788.48153846152,507.6923076923077,5748.48,0.065,96.877,False
Ringwood North,929200.0,927500.0,178.7,9292000.0,10,250141.667,659.5,5199.78,0.064,96.941,False
Edithvale,989833.3333333334,875000.0,161.83333333333334,8908500.0,9,295287.03777777776,570.7777777777778,6116.37,0.061,97.002,False
Keysborough,809636.3636363636,752000.0,159.45454545454547,8906000.0,11,247757.57636363636,516.8181818181819,5077.54,0.061,97.063,False
Rowville,888880.0,865000.0,204.4,8888800.0,10,237786.667,626.7,4348.73,0.061,97.124,False
Mooroolbark,736875.0,725000.0,131.37916666666666,8842500.0,12,231415.2775,931.4166666666666,5608.77,0.061,97.185,False
Westmeadows,621857.1428571428,599000.0,153.07142857142858,8706000.0,14,199714.28642857142,552.2857142857143,4062.53,0.06,97.245,False
Burnley,1241715.7142857143,1202500.0,111.71428571428571,8692010.0,7,516750.71428571426,290.42857142857144,11115.1,0.06,97.305,False
Princes Hill,1734600.0,1700000.0,141.2,8673000.0,5,600566.666,268.4,12284.7,0.06,97.365,False
Deer Park,606607.1428571428,630750.0,139.0,8492500.0,14,195672.62000000002,626.0,4364.08,0.059,97.424,False
Meadow Heights,491941.17647058825,482000.0,131.35294117647058,8363000.0,17,146835.78411764707,619.5294117647059,3745.19,0.058,97.482,False
Point Cook,639769.2307692308,635000.0,207.73076923076923,8317000.0,13,164198.7176923077,473.53846153846155,3079.8,0.057,97.539,False
Noble Park,679166.6666666666,668000.0,130.01666666666668,8150000.0,12,222465.27833333332,614.3333333333334,5223.69,0.056,97.595,False
Dandenong,610961.5384615385,583000.0,130.6153846153846,7942500.0,13,208509.61615384617,575.0769230769231,4677.56,0.055,97.65,False
Tullamarine,610500.0,586000.0,131.17846153846153,7936500.0,13,203166.6676923077,402.6923076923077,4653.97,0.055,97.705,False
Aspendale,1125285.7142857143,1150000.0,158.42857142857142,7877000.0,7,327214.2842857143,444.57142857142856,7102.8,0.054,97.759,False
Scoresby,958225.0,956000.0,151.75,7665800.0,8,276991.66625,838.5,6314.5,0.053,97.812,False
Watsonia North,763500.0,747500.0,146.6,7635000.0,10,227958.333,649.0,5208.05,0.053,97.865,False
Springvale,836277.7777777778,770000.0,147.02777777777777,7526500.0,9,262518.5188888889,613.1111111111111,5687.89,0.052,97.917,False
Keilor,832500.0,840000.0,169.33333333333334,7492500.0,9,250255.55555555556,594.5555555555555,4916.34,0.052,97.969,False
Huntingdale,1064828.5714285714,1093800.0,129.0,7453800.0,7,327145.2385714286,552.7142857142857,8254.49,0.051,98.02,False
Seaholme,1226166.6666666667,1385000.0,178.29999999999998,7357000.0,6,347916.6666666667,520.5,6876.99,0.051,98.071,False
Roxburgh Park,484846.6666666667,490000.0,140.2,7272700.0,15,149637.778,429.8,3458.25,0.05,98.121,False
Caroline Springs,644000.0,600000.0,187.3172727272727,7084000.0,11,188530.30272727273,400.72727272727275,3438.02,0.049,98.17,False
Ripponlea,769500.0,605000.0,90.11111111111111,6925500.0,9,349444.44444444444,529.3333333333334,8539.46,0.048,98.218,False
Melton South,381819.44444444444,390000.0,124.77777777777777,6872750.0,18,122928.2411111111,601.8888888888889,3060.0,0.047,98.265,False
Gardenvale,1126333.3333333333,922500.0,149.66666666666666,6758000.0,6,342777.7783333333,208.0,7525.61,0.047,98.312,False
Carrum Downs,545750.0,549250.0,157.08333333333334,6549000.0,12,171361.11166666666,610.5,3474.27,0.045,98.357,False
Carrum,715833.3333333334,687500.0,129.0,6442500.0,9,240814.81555555554,410.77777777777777,5549.1,0.044,98.401,False
Warrandyte,1219200.0,1200000.0,167.0,6096000.0,5,338566.666,1904.8,7300.6,0.042,98.443,False
Croydon North,856000.0,835000.0,182.57142857142858,5992000.0,7,235285.7142857143,1143.857142857143,4688.58,0.041,98.484,False
Briar Hill,734062.5,673750.0,141.875,5872500.0,8,287760.4175,519.0,5174.01,0.041,98.525,False
Brooklyn,648900.0,555000.0,116.55555555555556,5840100.0,9,271005.5544444445,351.6666666666667,5567.3,0.04,98.565,False
Strathmore Heights,953666.5,940999.5,198.0,5721999.0,6,252305.51333333334,565.8333333333334,4816.5,0.039,98.604,False
Bayswater North,706500.0,712000.0,136.5,5652000.0,8,226125.0,629.0,5175.82,0.039,98.643,False
Mernda,601166.6666666666,596000.0,183.44444444444446,5410500.0,9,164124.9988888889,509.0,3277.1,0.037,98.68,False
